계약면적(㎡),보증금(만원),월세금(만원),건축년도,계약기간,도로조건_-,도로조건_12m미만,도로조건_25m미만,도로조건_25m이상,도로조건_8m미만
39.0,500,40,1994.0,24.0,0,0,0,0,1
36.5,300,25,1974.0,24.0,0,0,0,0,1
20.0,200,30,2001.0,12.0,0,0,0,0,1
28.07,300,39,2019.0,12.0,0,0,0,0,1
25.0,300,60,2020.0,11.0,0,1,0,0,0
40.0,1000,43,1997.0,24.0,0,0,0,0,1
16.0,300,42,2020.0,12.0,0,0,1,0,0
19.83,300,20,1985.0,24.0,0,0,1,0,0
24.0,300,40,2002.0,12.0,0,1,0,0,0
24.0,300,40,2001.0,12.0,0,1,0,0,0
26.0,300,40,2009.0,12.0,0,0,0,0,1
19.8,200,30,1998.0,24.0,0,0,0,0,1
25.0,500,54,2003.0,12.0,0,0,0,0,1
36.36,500,35,1985.0,24.0,0,0,0,0,1
20.0,300,38,2002.0,12.0,0,0,0,0,1
33.0,300,55,1996.0,12.0,0,1,0,0,0
20.0,400,40,2013.0,24.0,0,1,0,0,0
19.22,300,47,2002.0,11.0,0,1,0,0,0
33.0,500,65,1994.0,12.0,0,0,0,0,1
24.0,200,34,2003.0,12.0,0,0,0,0,1
51.69,500,45,2002.0,24.0,0,0,0,0,1
25.0,300,40,1997.0,12.0,0,0,0,1,0
20.0,1000,30,1996.0,12.0,0,1,0,0,0
23.1,3000,25,2001.0,12.0,0,1,0,0,0
29.75,2000,35,1998.0,12.0,0,0,0,0,1
30.0,300,35,2002.0,12.0,0,0,0,0,1
43.0,4800,33,2016.0,24.0,0,1,0,0,0
40.0,1000,55,2018.0,12.0,0,0,0,0,1
57.2,500,60,2011.0,24.0,0,0,1,0,0
45.12,200,35,1956.0,24.0,0,0,0,0,1
48.0,1000,60,2015.0,24.0,0,0,0,0,1
45.0,300,60,2003.0,12.0,0,0,0,0,1
17.1,300,45,1993.0,8.0,0,0,0,0,1
23.0,300,30,2002.0,12.0,0,0,1,0,0
26.0,200,40,2009.0,12.0,0,0,0,0,1
