NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
106,인천광역시 미추홀구 용현동,6**,12m미만,47.0,전세,202602,3,"8,800",0,2016.0,낙섬중로77번길,202602~202802,신규,-,,,단독다가구
107,인천광역시 미추홀구 용현동,1**,12m미만,18.0,전세,202602,3,"3,500",0,1983.0,경인남길102번길,202602~202702,신규,-,,,단독다가구
108,인천광역시 미추홀구 용현동,6**,8m미만,18.0,월세,202602,2,300,43,2015.0,낙섬서로18번길,202602~202802,신규,-,,,단독다가구
109,인천광역시 미추홀구 용현동,6**,8m미만,20.0,월세,202602,2,100,30,2001.0,낙섬서로49번길,202602~202702,신규,-,,,단독다가구
110,인천광역시 미추홀구 용현동,5**,8m미만,21.8,월세,202602,2,200,40,2015.0,낙섬중로,202602~202702,신규,-,,,단독다가구
111,인천광역시 미추홀구 용현동,1**,12m미만,17.0,월세,202602,1,300,49,1995.0,경인남길30번길,202602~202702,신규,-,,,단독다가구
112,인천광역시 미추홀구 용현동,8*,8m미만,26.0,월세,202602,1,200,40,2002.0,재넘이길,202602~202702,신규,-,,,단독다가구
113,인천광역시 미추홀구 용현동,1**,12m미만,30.0,월세,202601,31,300,46,2006.0,경인남길30번길,202601~202701,신규,-,,,단독다가구
114,인천광역시 미추홀구 용현동,1**,12m미만,16.0,월세,202601,31,"2,500",15,1997.0,인하로47번길,202602~202802,신규,-,,,단독다가구
115,인천광역시 미추홀구 용현동,6**,8m미만,20.0,월세,202601,31,500,40,2021.0,낙섬중로67번길,202602~202702,신규,-,,,단독다가구
116,인천광역시 미추홀구 용현동,6**,8m미만,16.55,전세,202601,30,"2,500",0,2009.0,낙섬서로18번길,202602~202802,신규,-,,,단독다가구
117,인천광역시 미추홀구 용현동,8*,12m미만,16.52,월세,202601,30,300,30,1997.0,한나루로477번길,202602~202701,신규,-,,,단독다가구
118,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202601,30,300,42,2003.0,경인남길,202602~202702,신규,-,,,단독다가구
119,인천광역시 미추홀구 용현동,6**,8m미만,40.0,월세,202601,29,500,68,2019.0,재넘이길,202602~202702,신규,-,,,단독다가구
120,인천광역시 미추홀구 용현동,1**,8m미만,59.5,월세,202601,29,"2,000",50,1975.0,수봉남로6번길,202603~202703,신규,-,,,단독다가구
121,인천광역시 미추홀구 용현동,8*,25m이상,33.0,월세,202601,27,400,55,1972.0,인하로,202601~202701,신규,-,,,단독다가구
122,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202601,27,"1,000",30,1996.0,경인남길102번길,202602~202702,신규,-,,,단독다가구
123,인천광역시 미추홀구 용현동,1**,12m미만,35.0,월세,202601,27,500,60,1991.0,경인남길,202602~202702,신규,-,,,단독다가구
124,인천광역시 미추홀구 용현동,1**,8m미만,17.0,월세,202601,26,300,38,1993.0,인하로77번길,202602~202702,신규,-,,,단독다가구
125,인천광역시 미추홀구 용현동,3*,12m미만,18.18,월세,202601,26,300,36,1997.0,인하로163번길,202602~202702,신규,-,,,단독다가구
126,인천광역시 미추홀구 용현동,8*,8m미만,21.0,월세,202601,25,200,30,1997.0,한나루로463번길,202602~202702,신규,-,,,단독다가구
127,인천광역시 미추홀구 용현동,9*,12m미만,22.0,월세,202601,25,300,40,2001.0,인하로47번길,202601~202701,신규,-,,,단독다가구
128,인천광역시 미추홀구 용현동,7*,8m미만,20.0,월세,202601,24,200,30,2001.0,인하로91번길,202601~202701,신규,-,,,단독다가구
129,인천광역시 미추홀구 용현동,1**,12m미만,22.0,월세,202601,24,200,32,1993.0,경인남길30번길,202602~202702,신규,-,,,단독다가구
130,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202601,24,200,30,2002.0,인주대로224번길,202601~202701,신규,-,,,단독다가구
131,인천광역시 미추홀구 용현동,1**,12m미만,19.0,월세,202601,24,300,41,1997.0,인하로47번길,202602~202701,신규,-,,,단독다가구
132,인천광역시 미추홀구 용현동,1**,12m미만,17.0,월세,202601,24,300,45,1995.0,경인남길30번길,202602~202702,신규,-,,,단독다가구
133,인천광역시 미추홀구 용현동,6**,25m미만,28.0,월세,202601,24,300,32,2002.0,토금남로,202601~202701,신규,-,,,단독다가구
134,인천광역시 미추홀구 용현동,8*,12m미만,22.59,월세,202601,23,300,45,2008.0,한나루로477번길,202602~202702,신규,-,,,단독다가구
135,인천광역시 미추홀구 용현동,1**,8m미만,18.0,월세,202601,23,300,39,2002.0,인하로91번길,202602~202702,신규,-,,,단독다가구
136,인천광역시 미추홀구 용현동,9*,12m미만,23.0,월세,202601,22,300,37,2001.0,인하로47번길,202602~202702,신규,-,,,단독다가구
137,인천광역시 미추홀구 용현동,1**,12m미만,16.52,월세,202601,22,300,44,1997.0,인하로47번길,202601~202607,신규,-,,,단독다가구
138,인천광역시 미추홀구 용현동,2*,12m미만,20.0,월세,202601,21,300,32,1994.0,한나루로477번길,202602~202702,신규,-,,,단독다가구
139,인천광역시 미추홀구 용현동,6**,8m미만,27.73,월세,202601,21,"1,000",40,2019.0,매소홀로,202601~202701,신규,-,,,단독다가구
140,인천광역시 미추홀구 용현동,6**,8m미만,30.0,월세,202601,21,300,33,2014.0,낙섬서로18번길,202602~202702,신규,-,,,단독다가구
141,인천광역시 미추홀구 용현동,1**,12m미만,18.0,월세,202601,20,300,47,,인하로47번길,202602~202702,신규,-,,,단독다가구
142,인천광역시 미추홀구 용현동,8*,8m미만,18.22,월세,202601,20,300,45,2014.0,재넘이길,202602~202701,신규,-,,,단독다가구
143,인천광역시 미추홀구 용현동,6**,8m미만,20.0,월세,202601,20,50,40,2009.0,낙섬서로18번길,202601~202801,신규,-,,,단독다가구
144,인천광역시 미추홀구 용현동,6**,8m미만,18.0,월세,202601,19,500,40,2015.0,낙섬서로18번길,202601~202701,신규,-,,,단독다가구
145,인천광역시 미추홀구 용현동,4*,8m미만,22.19,월세,202601,19,100,24,2014.0,재넘이길,202601~202607,신규,-,,,단독다가구
146,인천광역시 미추홀구 용현동,5*,25m이상,24.0,전세,202601,19,"5,000",0,2009.0,인하로,202602~202902,신규,-,,,단독다가구
147,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202601,19,500,61,1993.0,경인남길102번길,202602~202702,신규,-,,,단독다가구
148,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202601,19,500,61,1993.0,경인남길102번길,202602~202702,신규,-,,,단독다가구
149,인천광역시 미추홀구 용현동,5**,8m미만,29.04,월세,202601,18,300,45,2019.0,낙섬중로,202602~202701,신규,-,,,단독다가구
150,인천광역시 미추홀구 용현동,4*,8m미만,30.0,월세,202601,18,500,90,2017.0,한나루로463번길,202602~202702,신규,-,,,단독다가구
151,인천광역시 미추홀구 용현동,9*,8m미만,45.98,월세,202601,17,500,70,2016.0,인하로105번길,202602~202701,신규,-,,,단독다가구
152,인천광역시 미추홀구 용현동,3*,8m미만,48.0,월세,202601,17,"1,000",50,1974.0,인하로147번길,-,-,-,,,단독다가구
153,인천광역시 미추홀구 용현동,1**,12m미만,18.0,전세,202601,17,"4,000",0,1997.0,인하로47번길,202602~202702,신규,-,,,단독다가구
154,인천광역시 미추홀구 용현동,1**,12m미만,15.0,월세,202601,17,300,35,1991.0,인하로47번길,202601~202701,신규,-,,,단독다가구
155,인천광역시 미추홀구 용현동,8*,8m미만,26.0,월세,202601,16,200,40,2002.0,재넘이길,202602~202701,신규,-,,,단독다가구
156,인천광역시 미추홀구 용현동,1**,8m미만,23.0,전세,202601,16,"6,000",0,2003.0,인주대로198번길,202602~202802,신규,-,,,단독다가구
157,인천광역시 미추홀구 용현동,1**,12m미만,28.0,월세,202601,16,300,40,2000.0,인주대로224번길,202601~202701,신규,-,,,단독다가구
158,인천광역시 미추홀구 용현동,8*,8m미만,24.0,월세,202601,16,300,40,2003.0,인하로120번길,202601~202701,신규,-,,,단독다가구
159,인천광역시 미추홀구 용현동,1**,12m미만,25.0,월세,202601,15,300,40,2001.0,경인남길,202601~202701,신규,-,,,단독다가구
160,인천광역시 미추홀구 용현동,9*,12m미만,21.0,월세,202601,15,300,45,1997.0,인하로105번길,202601~202701,신규,-,,,단독다가구
161,인천광역시 미추홀구 용현동,1**,8m미만,26.94,월세,202601,15,500,56,2018.0,경인남길118번길,202602~202702,신규,-,,,단독다가구
162,인천광역시 미추홀구 용현동,9*,12m미만,25.0,월세,202601,15,300,50,1997.0,인하로105번길,202602~202701,신규,-,,,단독다가구
163,인천광역시 미추홀구 용현동,9*,12m미만,25.0,월세,202601,15,300,40,2001.0,인주대로224번길,202601~202701,신규,-,,,단독다가구
164,인천광역시 미추홀구 용현동,7*,8m미만,22.0,전세,202601,14,"4,500",0,1997.0,인하로91번길,-,-,-,,,단독다가구
165,인천광역시 미추홀구 용현동,8*,8m미만,50.0,월세,202601,14,200,34,2002.0,재넘이길,202601~202607,신규,-,,,단독다가구
166,인천광역시 미추홀구 용현동,5*,12m미만,15.0,월세,202601,13,300,40,2019.0,한나루로477번길,202602~202702,신규,-,,,단독다가구
167,인천광역시 미추홀구 용현동,1**,12m미만,28.0,월세,202601,13,300,40,,인주대로224번길,202601~202701,신규,-,,,단독다가구
168,인천광역시 미추홀구 용현동,1**,12m미만,28.0,월세,202601,13,300,42,,인주대로224번길,202601~202701,신규,-,,,단독다가구
169,인천광역시 미추홀구 용현동,6**,8m미만,20.0,월세,202601,12,500,45,2017.0,토금북로28번길,202601~202701,신규,-,,,단독다가구
170,인천광역시 미추홀구 용현동,9*,12m미만,20.0,월세,202601,12,300,40,2001.0,인하로47번길,202602~202702,신규,-,,,단독다가구
171,인천광역시 미추홀구 용현동,1**,8m미만,19.0,전세,202601,11,"7,000",0,2002.0,인하로91번길,202602~202802,신규,-,,,단독다가구
172,인천광역시 미추홀구 용현동,9*,8m미만,18.0,월세,202601,11,300,37,2015.0,인하로105번길,202601~202701,신규,-,,,단독다가구
173,인천광역시 미추홀구 용현동,4*,8m미만,20.0,월세,202601,10,300,43,,한나루로463번길,202602~202701,신규,-,,,단독다가구
174,인천광역시 미추홀구 용현동,9*,12m미만,20.0,월세,202601,10,500,48,,인하로105번길,202602~202702,신규,-,,,단독다가구
175,인천광역시 미추홀구 용현동,1**,12m미만,16.22,월세,202601,10,300,41,,인하로47번길,202602~202702,신규,-,,,단독다가구
176,인천광역시 미추홀구 용현동,1**,12m미만,15.0,월세,202601,10,200,45,2002.0,인하로47번길,202601~202701,신규,-,,,단독다가구
177,인천광역시 미추홀구 용현동,1**,12m미만,15.0,월세,202601,10,300,50,2001.0,경인남길30번길,202601~202701,신규,-,,,단독다가구
178,인천광역시 미추홀구 용현동,1**,8m미만,19.0,월세,202601,10,300,37,1996.0,인하로91번길,202601~202701,신규,-,,,단독다가구
179,인천광역시 미추홀구 용현동,1**,12m미만,23.0,월세,202601,10,300,55,2002.0,인하로47번길,202601~202701,신규,-,,,단독다가구
180,인천광역시 미추홀구 용현동,1**,8m미만,18.0,월세,202601,9,300,38,2002.0,경인남길30번길,202602~202702,신규,-,,,단독다가구
